English,中文（採用）,別稱,來源
A-scan A-,掃描,,牛津 Book E4 Ch2
a.c. generator,交流發電機,,EDB 2020
aberration,光行差,像差,EDB 2020
abrasion,磨損,,牛津 Book E2 Ch3
absolute index of refraction,絕對折射率,,EDB 2020
absolute magnitude,絕對星等,,牛津 Book E1 Ch3
absolute refractive index,絕對折射率,,EDB 2020
absolute temperature scale,絕對溫標,,EDB 2020
absolute zero,絕對零度,,牛津 Book 1 Ch2
absorber,吸收體,,牛津 Book 1 Ch2
absorbing power,吸收能力,吸收本領,EDB 2020
absorptance,吸收比,,EDB 2020
absorption,吸收,,EDB 2020
absorption coefficient,吸收係數,,EDB 2020
absorption line,吸收譜線,吸收譜綫（EDB）,牛津 Book E1 Ch3
absorption spectrum,吸收光譜,,牛津 Book E2 Ch2
absorption spectrum (pl. spectra),吸收光譜,,牛津 Book E1 Ch3
accelerate,加速,,EDB 2020
acceleration,加速度,,牛津 Book 2 Ch1
acceleration due to gravity,重力加速度,,牛津 Book 2 Ch2
accelerator,加速器,,EDB 2020
acceptor,接受體,,EDB 2020
acceptor doping,受體摻雜,,EDB 2020
acceptor impurity,受體雜質,,EDB 2020
accommodation,視覺調節,調節（EDB）,牛津 Book E4 Ch1
accumulator,蓄電池,,EDB 2020
accuracy,準確度,,EDB 2020
acetate strip,醋酸酯條片,,EDB 2020
achromatic,消色差的,,EDB 2020
achromatic aberration,消色差,,EDB 2020
achromatic condenser,消色差聚光透鏡,,EDB 2020
achromatic light,消色差光,白光,EDB 2020
acoustic blur,聲響模糊,,EDB 2020
acoustic board,吸音板,吸聲板,EDB 2020
acoustic impedance,聲阻抗,,牛津 Book E4 Ch2
acoustic navigation,聲響導航,,EDB 2020
acoustic pressure,聲壓,,EDB 2020
acoustics,聲學,,EDB 2020
act on,施於,,EDB 2020
action,作用量,作用 / 作用力,EDB 2020
action of point,尖端作用,,EDB 2020
activation,激活,活化,EDB 2020
activation energy,激活能,活化能,EDB 2020
active nucleus,活性核,放射性核,EDB 2020
activity,放射強度,放射活度（EDB）,牛津 Book 5 Ch2
adapter,接合器,,EDB 2020
adder,加法器,,EDB 2020
adhesion,附著力,附著 / 黏附,EDB 2020
adhesive force,附著力,,EDB 2020
adiabatic,絕熱的,,EDB 2020
adiabatic expansion,絕熱膨脹,,EDB 2020
adiabatic process,絕熱過程,,EDB 2020
aerial,天綫,,EDB 2020
aerial induction,天綫調諧電感,,EDB 2020
aerial network,天綫網路,,EDB 2020
aerodynamic force,氣動力,空氣動力,EDB 2020
aerodynamics,氣體動力學,空氣動力學,EDB 2020
aerofoil,機翼,,EDB 2020
agent,劑,,EDB 2020
air blower,吹風器,,EDB 2020
air column,空氣柱,氣柱,EDB 2020
air cushion,氣墊,,EDB 2020
air damping,空氣阻尼,,EDB 2020
air film,氣膜,,EDB 2020
air purifier,空氣清新機,,牛津 Book 4 Ch1
air resistance,空氣阻力,,牛津 Book 2 Ch2
air track,氣墊導軌,,EDB 2020
